[2025-06-04 13:10:09,670] INFO - 🚀 Starting preprocessing...
[2025-06-04 13:10:10,674] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-06-04 13:10:10,711] INFO - 🧹 Cleaning text...
[2025-06-04 13:10:12,103] INFO - ✅ Text cleaned.
[2025-06-04 13:10:12,103] INFO - 🔠 Vectorizing using TF-IDF...
[2025-06-04 13:10:12,339] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-06-04 13:10:12,340] INFO - 📐 Calculating cosine similarity...
[2025-06-04 13:10:12,805] INFO - ✅ Cosine similarity matrix generated.
[2025-06-04 13:10:13,169] INFO - 💾 Data saved to disk.
[2025-06-04 13:10:13,170] INFO - ✅ Preprocessing complete.
[2025-06-04 13:23:40,277] INFO - 🚀 Starting preprocessing...
[2025-06-04 13:23:41,839] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-06-04 13:23:41,893] INFO - 🧹 Cleaning text...
[2025-06-04 13:23:44,107] INFO - ✅ Text cleaned.
[2025-06-04 13:23:44,112] INFO - 🔠 Vectorizing using TF-IDF...
[2025-06-04 13:23:44,809] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-06-04 13:23:44,810] INFO - 📐 Calculating cosine similarity...
[2025-06-04 13:23:45,741] INFO - ✅ Cosine similarity matrix generated.
[2025-06-04 13:23:48,790] INFO - 💾 Data saved to disk.
[2025-06-04 13:23:48,795] INFO - ✅ Preprocessing complete.
[2025-07-09 12:33:37,443] INFO - 🚀 Starting preprocessing...
[2025-07-09 12:33:38,482] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-09 12:33:38,525] INFO - 🧹 Cleaning text...
[2025-07-09 12:33:39,913] INFO - ✅ Text cleaned.
[2025-07-09 12:33:39,914] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-09 12:33:40,212] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-09 12:33:40,213] INFO - 📐 Calculating cosine similarity...
[2025-07-09 12:33:40,769] INFO - ✅ Cosine similarity matrix generated.
[2025-07-09 12:33:41,005] INFO - 💾 Data saved to disk.
[2025-07-09 12:33:41,007] INFO - ✅ Preprocessing complete.
[2025-07-09 12:45:53,686] INFO - 🚀 Starting preprocessing...
[2025-07-09 12:45:54,397] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-09 12:45:54,436] INFO - 🧹 Cleaning text...
[2025-07-09 12:45:55,902] INFO - ✅ Text cleaned.
[2025-07-09 12:45:55,902] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-09 12:45:56,248] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-09 12:45:56,248] INFO - 📐 Calculating cosine similarity...
[2025-07-09 12:45:56,804] INFO - ✅ Cosine similarity matrix generated.
[2025-07-09 12:45:57,232] INFO - 💾 Data saved to disk.
[2025-07-09 12:45:57,233] INFO - ✅ Preprocessing complete.
[2025-07-09 12:47:10,133] INFO - 🚀 Starting preprocessing...
[2025-07-09 12:47:10,856] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-09 12:47:10,872] INFO - 🧹 Cleaning text...
[2025-07-09 12:47:12,349] INFO - ✅ Text cleaned.
[2025-07-09 12:47:12,349] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-09 12:47:12,690] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-09 12:47:12,690] INFO - 📐 Calculating cosine similarity...
[2025-07-09 12:47:13,220] INFO - ✅ Cosine similarity matrix generated.
[2025-07-09 12:47:16,292] INFO - 💾 Data saved to disk.
[2025-07-09 12:47:16,293] INFO - ✅ Preprocessing complete.
[2025-07-09 13:03:25,544] INFO - 🚀 Starting preprocessing...
[2025-07-09 13:03:26,557] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-09 13:03:26,612] INFO - 🧹 Cleaning text...
[2025-07-09 13:03:28,792] INFO - ✅ Text cleaned.
[2025-07-09 13:03:28,794] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-09 13:03:29,248] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-09 13:03:29,249] INFO - 📐 Calculating cosine similarity...
[2025-07-09 13:03:29,902] INFO - ✅ Cosine similarity matrix generated.
[2025-07-09 13:03:30,209] INFO - 💾 Data saved to disk.
[2025-07-09 13:03:30,210] INFO - ✅ Preprocessing complete.
[2025-07-09 13:10:17,097] INFO - 🚀 Starting preprocessing...
[2025-07-09 13:10:17,632] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-09 13:10:17,656] INFO - 🧹 Cleaning text...
[2025-07-09 13:10:18,727] INFO - ✅ Text cleaned.
[2025-07-09 13:10:18,728] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-09 13:10:18,907] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-09 13:10:18,908] INFO - 📐 Calculating cosine similarity...
[2025-07-09 13:10:19,270] INFO - ✅ Cosine similarity matrix generated.
[2025-07-09 13:10:19,518] INFO - 💾 Data saved to disk.
[2025-07-09 13:10:19,518] INFO - ✅ Preprocessing complete.
